Action2ALX,0.9633789,0.9575195,0.956543,0.9619141,0.956543,0.953125,0.9750977,0.9658203,0.9575195,0.9272461,0.9545898,1.005859,0.9404297,0.9277344,0.9311523,0.8852539,0.9545898,0.9741211,0.9243164,0.9628906,0.9643555,0.9316406,0.9111328,0.9428711,0.9658203,0.956543,0.9697266,0.9580078,0.9384766,0.9941406,0.9365234,0.9365234,0.9868164,0.9848633,0.9453125,0.9746094,0.9716797,0.9672852,0.956543,0.9580078,0.9746094,0.9692383,0.9794922,0.9697266,0.9575195
Action2ALY,-0.2441406,-0.2470703,-0.2451172,-0.2485352,-0.2387695,-0.2456055,-0.2543945,-0.2597656,-0.2783203,-0.2353516,-0.2773438,-0.253418,-0.2612305,-0.234375,-0.2661133,-0.2612305,-0.2685547,-0.3325195,-0.3105469,-0.3232422,-0.3076172,-0.2875977,-0.2871094,-0.2456055,-0.2509766,-0.2597656,-0.2666016,-0.2851563,-0.2685547,-0.2177734,-0.2241211,-0.2207031,-0.1875,-0.1918945,-0.1953125,-0.2241211,-0.2158203,-0.2231445,-0.2250977,-0.234375,-0.2285156,-0.2275391,-0.2397461,-0.2255859,-0.2304688
Action2ALZ,0.1132813,0.1098633,0.1118164,0.1088867,0.1079102,0.1118164,0.1162109,0.1064453,0.08789063,0.1079102,0.09228516,0.1074219,0.09375,0.1083984,0.1176758,0.09619141,0.1220703,0.1342773,0.1445313,0.1464844,0.128418,0.1313477,0.1323242,0.1044922,0.1220703,0.1074219,0.128418,0.1088867,0.09228516,0.0625,0.07910156,0.1132813,0.08935547,0.07519531,0.07275391,0.09228516,0.09472656,0.07666016,0.121582,0.1201172,0.1166992,0.105957,0.09814453,0.09423828,0.08544922
Action2ARX,0.8632813,0.8642578,0.8632813,0.8618164,0.8569336,0.8671875,0.8701172,0.9174805,1.208496,0.7827148,0.1455078,-0.6049805,-0.6118164,-0.5605469,-0.574707,-0.2109375,-0.05175781,-0.05175781,-1.083496,-1.044434,-0.887207,-0.8071289,-0.6723633,-0.4462891,-0.3295898,-0.2885742,-0.4008789,0.05371094,-0.1899414,0.3261719,0.824707,0.8808594,0.9580078,0.9726563,0.8676758,0.8183594,0.8417969,0.8984375,0.8925781,0.859375,0.875,0.8886719,0.8681641,0.8720703,0.8857422
Action2ARY,0.4223633,0.4116211,0.4174805,0.4150391,0.4213867,0.418457,0.4189453,0.4438477,0.8251953,1.23877,1.069336,0.5927734,0.5595703,0.4682617,0.1005859,-0.1420898,-0.01757813,-0.01757813,0.1923828,0.2646484,0.3476563,0.3208008,0.2949219,0.3510742,0.3857422,0.6000977,1.005859,1.078613,1.050781,0.6816406,1.200684,0.4467773,0.5380859,0.4584961,0.418457,0.3188477,0.3891602,0.3925781,0.3608398,0.3901367,0.3706055,0.3886719,0.3696289,0.4057617,0.4277344
Action2ARZ,0.2143555,0.2114258,0.2133789,0.2133789,0.2143555,0.2192383,0.2119141,0.1616211,0.3691406,0.9082031,0.9121094,1.013184,0.9619141,0.7783203,0.3232422,-0.3662109,-0.40625,-0.40625,-0.1411133,0.3427734,0.9023438,0.8754883,0.6074219,0.4672852,0.4853516,0.5913086,0.7436523,0.6601563,0.5307617,0.324707,0.184082,0.2744141,0.199707,0.1977539,0.1875,0.2651367,0.2075195,0.1821289,0.1904297,0.1821289,0.2133789,0.2387695,0.2060547,0.2001953,0.1767578
Action2EMG0L,0,-2,-2,-1,-1,-2,-2,-1,-1,-1,-1,0,-2,-4,-7,-6,-5,-1,0,0,-3,-2,-1,-3,-3,0,-3,-1,-1,-1,-3,-11,1,-1,-1,-1,-4,0,-1,-1,-1,0,0,-1,0
Action2EMG1L,0,-1,-2,-1,-1,-1,-3,-3,-2,-1,0,-2,-2,-2,1,-3,-5,-1,5,1,-3,0,-3,-2,-3,-1,-1,-2,-1,-1,-2,-2,-2,-1,-1,0,-2,0,0,-1,-3,0,-1,-2,-2
Action2EMG2L,-2,-1,-1,-1,-1,-3,0,-1,1,-1,0,-1,-4,-3,0,-2,-1,0,-1,-4,-2,-1,-2,-1,-1,-1,-2,1,-2,-1,-1,-1,-2,-1,0,0,-3,-2,0,-1,-2,-3,0,0,-2
Action2EMG3L,-2,-1,-1,-1,-2,-2,-3,0,-2,-1,0,-1,-2,-2,-2,-3,1,0,-3,0,-2,-1,-1,0,-2,-1,0,-1,-1,-2,-1,1,-2,0,-2,0,-1,-3,-3,-2,-1,-2,0,-1,-1
Action2EMG4L,0,-1,-1,-2,0,-2,0,-1,0,0,-2,1,-2,0,-2,-3,0,-2,-2,-1,-5,1,-2,-1,0,-1,0,-1,0,0,-1,-1,0,0,-3,1,-1,-2,0,-2,0,-1,-2,0,0
